id,name,slug,is_active,is_listed,is_redistributable,first_historical_data,last_historical_data
2,WEX,wex,0,0,1,2018-04-26T00:45:00.000Z,2018-12-02T17:40:00.000Z
3,Vircurex,vircurex,0,0,0,2023-11-08T04:00:39.821Z,2023-11-08T04:00:39.841Z
4,BTER,bter,0,0,0,2023-11-08T04:00:40.036Z,2023-11-08T04:00:40.022Z
5,Cryptsy,cryptsy,0,0,0,2023-11-08T04:00:40.231Z,2023-11-08T04:00:40.238Z
6,Coins-E,coins-e,0,0,0,2023-11-08T04:00:39.621Z,2023-11-08T04:00:39.622Z
8,DGEX,dgex,0,0,0,2023-11-08T04:00:40.020Z,2023-11-08T04:00:40.020Z
9,Coined Up,coined-up,0,0,0,2023-11-08T04:00:40.221Z,2023-11-08T04:00:40.220Z
10,MasterXchange,masterxchange,0,0,0,2023-11-08T04:00:40.422Z,2023-11-08T04:00:40.420Z
11,mcxNOW,mcxnow,0,0,0,2023-11-08T04:00:39.820Z,2023-11-08T04:00:39.820Z
12,Atomic Trade,atomic-trade,0,0,0,2023-11-08T04:00:40.021Z,2023-11-08T04:00:40.020Z
13,BtcSet,btcset,0,0,0,2023-11-08T04:00:40.220Z,2023-11-08T04:00:40.221Z
14,BTC38,btc38,0,0,0,2023-11-08T04:00:40.421Z,2023-11-08T04:00:40.421Z
15,CryptoTrade,cryptotrade,0,0,0,2023-11-08T04:00:40.621Z,2023-11-08T04:00:40.621Z
16,Poloniex,poloniex,1,0,1,2018-04-26T00:45:00.000Z,2023-11-08T04:00:00.000Z
18,Yuanbao,yuanbao,0,0,0,2023-11-08T04:00:40.224Z,2023-11-08T04:00:40.220Z
19,MintPal,mintpal,0,0,0,2023-11-08T04:00:40.421Z,2023-11-08T04:00:40.421Z
20,SwissCEX,swisscex,0,0,0,2023-11-08T04:00:40.621Z,2023-11-08T04:00:40.621Z
21,BTCC,btcc,1,0,1,2018-04-26T00:45:00.000Z,2023-11-08T04:00:00.000Z
