timestamp,quote,num_market_pairs
2023-11-07T00:00:00.000Z,"{'USD': {'volume_24h': 141249428.18611977, 'timestamp': '2023-11-07T00:00:00.000Z'}}",400
2023-11-07T00:05:00.000Z,"{'USD': {'volume_24h': 139433720.2426816, 'timestamp': '2023-11-07T00:05:00.000Z'}}",400
2023-11-07T00:10:00.000Z,"{'USD': {'volume_24h': 139387058.39697215, 'timestamp': '2023-11-07T00:10:00.000Z'}}",400
2023-11-07T00:15:00.000Z,"{'USD': {'volume_24h': 139645756.17815554, 'timestamp': '2023-11-07T00:15:00.000Z'}}",400
2023-11-07T00:20:00.000Z,"{'USD': {'volume_24h': 139223661.95472035, 'timestamp': '2023-11-07T00:20:00.000Z'}}",400
2023-11-07T00:25:00.000Z,"{'USD': {'volume_24h': 138764923.00826067, 'timestamp': '2023-11-07T00:25:00.000Z'}}",400
2023-11-07T00:30:00.000Z,"{'USD': {'volume_24h': 139030685.64669585, 'timestamp': '2023-11-07T00:30:00.000Z'}}",400
2023-11-07T00:35:00.000Z,"{'USD': {'volume_24h': 139340296.16664162, 'timestamp': '2023-11-07T00:35:00.000Z'}}",400
2023-11-07T00:40:00.000Z,"{'USD': {'volume_24h': 139972991.3618284, 'timestamp': '2023-11-07T00:40:00.000Z'}}",400
2023-11-07T00:45:00.000Z,"{'USD': {'volume_24h': 140192053.19715902, 'timestamp': '2023-11-07T00:45:00.000Z'}}",400
2023-11-07T00:50:00.000Z,"{'USD': {'volume_24h': 140259480.97104704, 'timestamp': '2023-11-07T00:50:00.000Z'}}",400
2023-11-07T00:55:00.000Z,"{'USD': {'volume_24h': 139743577.0135707, 'timestamp': '2023-11-07T00:55:00.000Z'}}",400
2023-11-07T01:00:00.000Z,"{'USD': {'volume_24h': 140183831.84874833, 'timestamp': '2023-11-07T01:00:00.000Z'}}",400
2023-11-07T01:05:00.000Z,"{'USD': {'volume_24h': 139539836.97801194, 'timestamp': '2023-11-07T01:05:00.000Z'}}",400
2023-11-07T01:10:00.000Z,"{'USD': {'volume_24h': 139543574.94266668, 'timestamp': '2023-11-07T01:10:00.000Z'}}",400
2023-11-07T01:15:00.000Z,"{'USD': {'volume_24h': 139870752.77233297, 'timestamp': '2023-11-07T01:15:00.000Z'}}",400
2023-11-07T01:20:00.000Z,"{'USD': {'volume_24h': 139053353.73206708, 'timestamp': '2023-11-07T01:20:00.000Z'}}",400
2023-11-07T01:25:00.000Z,"{'USD': {'volume_24h': 138691573.71453127, 'timestamp': '2023-11-07T01:25:00.000Z'}}",400
2023-11-07T01:30:00.000Z,"{'USD': {'volume_24h': 138930307.8633786, 'timestamp': '2023-11-07T01:30:00.000Z'}}",400
2023-11-07T01:35:00.000Z,"{'USD': {'volume_24h': 138651564.8102123, 'timestamp': '2023-11-07T01:35:00.000Z'}}",400
2023-11-07T01:40:00.000Z,"{'USD': {'volume_24h': 137702596.9634413, 'timestamp': '2023-11-07T01:40:00.000Z'}}",400
2023-11-07T01:45:00.000Z,"{'USD': {'volume_24h': 137823353.7646918, 'timestamp': '2023-11-07T01:45:00.000Z'}}",400
2023-11-07T01:50:00.000Z,"{'USD': {'volume_24h': 137216306.0467228, 'timestamp': '2023-11-07T01:50:00.000Z'}}",400
2023-11-07T01:55:00.000Z,"{'USD': {'volume_24h': 137251856.115678, 'timestamp': '2023-11-07T01:55:00.000Z'}}",400
2023-11-07T02:00:00.000Z,"{'USD': {'volume_24h': 137620901.18255833, 'timestamp': '2023-11-07T02:00:00.000Z'}}",400
2023-11-07T02:05:00.000Z,"{'USD': {'volume_24h': 137295038.74253458, 'timestamp': '2023-11-07T02:05:00.000Z'}}",400
2023-11-07T02:10:00.000Z,"{'USD': {'volume_24h': 137316547.58539572, 'timestamp': '2023-11-07T02:10:00.000Z'}}",400
2023-11-07T02:15:00.000Z,"{'USD': {'volume_24h': 137349287.59243542, 'timestamp': '2023-11-07T02:15:00.000Z'}}",400
2023-11-07T02:20:00.000Z,"{'USD': {'volume_24h': 136613046.66909507, 'timestamp': '2023-11-07T02:20:00.000Z'}}",400
2023-11-07T02:25:00.000Z,"{'USD': {'volume_24h': 136328592.03690994, 'timestamp': '2023-11-07T02:25:00.000Z'}}",400
2023-11-07T02:30:00.000Z,"{'USD': {'volume_24h': 136412815.13425055, 'timestamp': '2023-11-07T02:30:00.000Z'}}",400
2023-11-07T02:35:00.000Z,"{'USD': {'volume_24h': 136173382.94734377, 'timestamp': '2023-11-07T02:35:00.000Z'}}",400
2023-11-07T02:40:00.000Z,"{'USD': {'volume_24h': 136007043.4801792, 'timestamp': '2023-11-07T02:40:00.000Z'}}",400
2023-11-07T02:45:00.000Z,"{'USD': {'volume_24h': 136182142.07931694, 'timestamp': '2023-11-07T02:45:00.000Z'}}",400
2023-11-07T02:50:00.000Z,"{'USD': {'volume_24h': 136266657.8734284, 'timestamp': '2023-11-07T02:50:00.000Z'}}",400
2023-11-07T02:55:00.000Z,"{'USD': {'volume_24h': 137444171.0660746, 'timestamp': '2023-11-07T02:55:00.000Z'}}",400
2023-11-07T03:00:00.000Z,"{'USD': {'volume_24h': 138629169.81542158, 'timestamp': '2023-11-07T03:00:00.000Z'}}",400
2023-11-07T03:05:00.000Z,"{'USD': {'volume_24h': 142892415.3478129, 'timestamp': '2023-11-07T03:05:00.000Z'}}",400
2023-11-07T03:10:00.000Z,"{'USD': {'volume_24h': 143876362.742399, 'timestamp': '2023-11-07T03:10:00.000Z'}}",400
2023-11-07T03:15:00.000Z,"{'USD': {'volume_24h': 145119774.72611165, 'timestamp': '2023-11-07T03:15:00.000Z'}}",400
2023-11-07T03:20:00.000Z,"{'USD': {'volume_24h': 144863512.9481806, 'timestamp': '2023-11-07T03:20:00.000Z'}}",400
2023-11-07T03:25:00.000Z,"{'USD': {'volume_24h': 144951481.97478265, 'timestamp': '2023-11-07T03:25:00.000Z'}}",400
2023-11-07T03:30:00.000Z,"{'USD': {'volume_24h': 145349498.8920251, 'timestamp': '2023-11-07T03:30:00.000Z'}}",400
2023-11-07T03:35:00.000Z,"{'USD': {'volume_24h': 145140158.0010867, 'timestamp': '2023-11-07T03:35:00.000Z'}}",400
2023-11-07T03:40:00.000Z,"{'USD': {'volume_24h': 144995053.75322822, 'timestamp': '2023-11-07T03:40:00.000Z'}}",400
2023-11-07T03:45:00.000Z,"{'USD': {'volume_24h': 145210524.50500226, 'timestamp': '2023-11-07T03:45:00.000Z'}}",400
2023-11-07T03:50:00.000Z,"{'USD': {'volume_24h': 144914158.02698734, 'timestamp': '2023-11-07T03:50:00.000Z'}}",400
2023-11-07T03:55:00.000Z,"{'USD': {'volume_24h': 145005464.9257432, 'timestamp': '2023-11-07T03:55:00.000Z'}}",400
2023-11-07T04:00:00.000Z,"{'USD': {'volume_24h': 145304059.3921991, 'timestamp': '2023-11-07T04:00:00.000Z'}}",400
2023-11-07T04:05:00.000Z,"{'USD': {'volume_24h': 144890208.57017165, 'timestamp': '2023-11-07T04:05:00.000Z'}}",400
2023-11-07T04:10:00.000Z,"{'USD': {'volume_24h': 145086844.18826267, 'timestamp': '2023-11-07T04:10:00.000Z'}}",400
2023-11-07T04:15:00.000Z,"{'USD': {'volume_24h': 145265416.6265843, 'timestamp': '2023-11-07T04:15:00.000Z'}}",400
2023-11-07T04:20:00.000Z,"{'USD': {'volume_24h': 145975223.2280827, 'timestamp': '2023-11-07T04:20:00.000Z'}}",400
2023-11-07T04:25:00.000Z,"{'USD': {'volume_24h': 145579959.2077818, 'timestamp': '2023-11-07T04:25:00.000Z'}}",400
2023-11-07T04:30:00.000Z,"{'USD': {'volume_24h': 146457218.21455765, 'timestamp': '2023-11-07T04:30:00.000Z'}}",400
2023-11-07T04:35:00.000Z,"{'USD': {'volume_24h': 146599195.25948334, 'timestamp': '2023-11-07T04:35:00.000Z'}}",400
2023-11-07T04:40:00.000Z,"{'USD': {'volume_24h': 146918765.18531582, 'timestamp': '2023-11-07T04:40:00.000Z'}}",400
2023-11-07T04:45:00.000Z,"{'USD': {'volume_24h': 147275134.8873702, 'timestamp': '2023-11-07T04:45:00.000Z'}}",400
2023-11-07T04:50:00.000Z,"{'USD': {'volume_24h': 146979513.70461518, 'timestamp': '2023-11-07T04:50:00.000Z'}}",400
2023-11-07T04:55:00.000Z,"{'USD': {'volume_24h': 147138243.2022638, 'timestamp': '2023-11-07T04:55:00.000Z'}}",400
2023-11-07T05:00:00.000Z,"{'USD': {'volume_24h': 147320903.32406726, 'timestamp': '2023-11-07T05:00:00.000Z'}}",400
2023-11-07T05:05:00.000Z,"{'USD': {'volume_24h': 146524680.93350765, 'timestamp': '2023-11-07T05:05:00.000Z'}}",400
2023-11-07T05:10:00.000Z,"{'USD': {'volume_24h': 146342480.45543778, 'timestamp': '2023-11-07T05:10:00.000Z'}}",400
2023-11-07T05:15:00.000Z,"{'USD': {'volume_24h': 146444930.1803605, 'timestamp': '2023-11-07T05:15:00.000Z'}}",400
2023-11-07T05:20:00.000Z,"{'USD': {'volume_24h': 145014937.98391193, 'timestamp': '2023-11-07T05:20:00.000Z'}}",400
2023-11-07T05:25:00.000Z,"{'USD': {'volume_24h': 145165309.95714414, 'timestamp': '2023-11-07T05:25:00.000Z'}}",400
2023-11-07T05:30:00.000Z,"{'USD': {'volume_24h': 145177600.54451334, 'timestamp': '2023-11-07T05:30:00.000Z'}}",400
2023-11-07T05:35:00.000Z,"{'USD': {'volume_24h': 144644430.50036094, 'timestamp': '2023-11-07T05:35:00.000Z'}}",400
2023-11-07T05:40:00.000Z,"{'USD': {'volume_24h': 144786908.14967832, 'timestamp': '2023-11-07T05:40:00.000Z'}}",400
2023-11-07T05:45:00.000Z,"{'USD': {'volume_24h': 144914652.8432031, 'timestamp': '2023-11-07T05:45:00.000Z'}}",400
2023-11-07T05:50:00.000Z,"{'USD': {'volume_24h': 144577881.74681076, 'timestamp': '2023-11-07T05:50:00.000Z'}}",400
2023-11-07T05:55:00.000Z,"{'USD': {'volume_24h': 144660658.60648027, 'timestamp': '2023-11-07T05:55:00.000Z'}}",400
2023-11-07T06:00:00.000Z,"{'USD': {'volume_24h': 144846047.1078899, 'timestamp': '2023-11-07T06:00:00.000Z'}}",400
2023-11-07T06:05:00.000Z,"{'USD': {'volume_24h': 144574881.95896453, 'timestamp': '2023-11-07T06:05:00.000Z'}}",400
2023-11-07T06:10:00.000Z,"{'USD': {'volume_24h': 144563694.0385353, 'timestamp': '2023-11-07T06:10:00.000Z'}}",400
2023-11-07T06:15:00.000Z,"{'USD': {'volume_24h': 144624904.71686822, 'timestamp': '2023-11-07T06:15:00.000Z'}}",400
2023-11-07T06:20:00.000Z,"{'USD': {'volume_24h': 144419166.7069799, 'timestamp': '2023-11-07T06:20:00.000Z'}}",400
2023-11-07T06:25:00.000Z,"{'USD': {'volume_24h': 144338288.23941448, 'timestamp': '2023-11-07T06:25:00.000Z'}}",400
2023-11-07T06:30:00.000Z,"{'USD': {'volume_24h': 144469140.3099023, 'timestamp': '2023-11-07T06:30:00.000Z'}}",400
2023-11-07T06:35:00.000Z,"{'USD': {'volume_24h': 144048618.98870555, 'timestamp': '2023-11-07T06:35:00.000Z'}}",400
2023-11-07T06:40:00.000Z,"{'USD': {'volume_24h': 144075812.7953103, 'timestamp': '2023-11-07T06:40:00.000Z'}}",400
2023-11-07T06:45:00.000Z,"{'USD': {'volume_24h': 144330215.03115514, 'timestamp': '2023-11-07T06:45:00.000Z'}}",400
2023-11-07T06:50:00.000Z,"{'USD': {'volume_24h': 144120282.08156297, 'timestamp': '2023-11-07T06:50:00.000Z'}}",400
2023-11-07T06:55:00.000Z,"{'USD': {'volume_24h': 144155588.2787697, 'timestamp': '2023-11-07T06:55:00.000Z'}}",400
2023-11-07T07:00:00.000Z,"{'USD': {'volume_24h': 144442429.54091457, 'timestamp': '2023-11-07T07:00:00.000Z'}}",400
2023-11-07T07:05:00.000Z,"{'USD': {'volume_24h': 144621652.82032192, 'timestamp': '2023-11-07T07:05:00.000Z'}}",400
2023-11-07T07:10:00.000Z,"{'USD': {'volume_24h': 144712599.19870618, 'timestamp': '2023-11-07T07:10:00.000Z'}}",400
2023-11-07T07:15:00.000Z,"{'USD': {'volume_24h': 144945723.33015135, 'timestamp': '2023-11-07T07:15:00.000Z'}}",400
2023-11-07T07:20:00.000Z,"{'USD': {'volume_24h': 144288001.7466906, 'timestamp': '2023-11-07T07:20:00.000Z'}}",400
2023-11-07T07:25:00.000Z,"{'USD': {'volume_24h': 143866198.18622681, 'timestamp': '2023-11-07T07:25:00.000Z'}}",400
2023-11-07T07:30:00.000Z,"{'USD': {'volume_24h': 143918366.53799936, 'timestamp': '2023-11-07T07:30:00.000Z'}}",400
2023-11-07T07:35:00.000Z,"{'USD': {'volume_24h': 143351425.46884897, 'timestamp': '2023-11-07T07:35:00.000Z'}}",400
2023-11-07T07:40:00.000Z,"{'USD': {'volume_24h': 143074445.12551892, 'timestamp': '2023-11-07T07:40:00.000Z'}}",400
2023-11-07T07:45:00.000Z,"{'USD': {'volume_24h': 143383007.27568123, 'timestamp': '2023-11-07T07:45:00.000Z'}}",400
2023-11-07T07:50:00.000Z,"{'USD': {'volume_24h': 143409809.70830718, 'timestamp': '2023-11-07T07:50:00.000Z'}}",400
2023-11-07T07:55:00.000Z,"{'USD': {'volume_24h': 143269155.0370765, 'timestamp': '2023-11-07T07:55:00.000Z'}}",400
2023-11-07T08:00:00.000Z,"{'USD': {'volume_24h': 143549229.89192036, 'timestamp': '2023-11-07T08:00:00.000Z'}}",400
2023-11-07T08:05:00.000Z,"{'USD': {'volume_24h': 143299762.19826722, 'timestamp': '2023-11-07T08:05:00.000Z'}}",400
2023-11-07T08:10:00.000Z,"{'USD': {'volume_24h': 143557342.09256956, 'timestamp': '2023-11-07T08:10:00.000Z'}}",400
2023-11-07T08:15:00.000Z,"{'USD': {'volume_24h': 143807406.0505922, 'timestamp': '2023-11-07T08:15:00.000Z'}}",400
2023-11-07T08:20:00.000Z,"{'USD': {'volume_24h': 143759995.11026198, 'timestamp': '2023-11-07T08:20:00.000Z'}}",400
2023-11-07T08:25:00.000Z,"{'USD': {'volume_24h': 143316276.75208244, 'timestamp': '2023-11-07T08:25:00.000Z'}}",400
2023-11-07T08:30:00.000Z,"{'USD': {'volume_24h': 143362190.39321667, 'timestamp': '2023-11-07T08:30:00.000Z'}}",400
2023-11-07T08:35:00.000Z,"{'USD': {'volume_24h': 143112270.01380068, 'timestamp': '2023-11-07T08:35:00.000Z'}}",400
2023-11-07T08:40:00.000Z,"{'USD': {'volume_24h': 142849077.4077119, 'timestamp': '2023-11-07T08:40:00.000Z'}}",400
2023-11-07T08:45:00.000Z,"{'USD': {'volume_24h': 143087980.56975937, 'timestamp': '2023-11-07T08:45:00.000Z'}}",400
2023-11-07T08:50:00.000Z,"{'USD': {'volume_24h': 142402089.50841883, 'timestamp': '2023-11-07T08:50:00.000Z'}}",400
2023-11-07T08:55:00.000Z,"{'USD': {'volume_24h': 142114872.02315235, 'timestamp': '2023-11-07T08:55:00.000Z'}}",400
2023-11-07T09:00:00.000Z,"{'USD': {'volume_24h': 142802927.84140477, 'timestamp': '2023-11-07T09:00:00.000Z'}}",400
2023-11-07T09:05:00.000Z,"{'USD': {'volume_24h': 142099034.71854064, 'timestamp': '2023-11-07T09:05:00.000Z'}}",400
