timestamp,quote,num_market_pairs
2023-11-07T00:00:00.000Z,"{'USD': {'volume_24h': 60350076.88937572, 'timestamp': '2023-11-07T00:00:00.000Z'}}",147
2023-11-07T00:05:00.000Z,"{'USD': {'volume_24h': 60290377.72237805, 'timestamp': '2023-11-07T00:05:00.000Z'}}",147
2023-11-07T00:10:00.000Z,"{'USD': {'volume_24h': 60243387.43302339, 'timestamp': '2023-11-07T00:10:00.000Z'}}",147
2023-11-07T00:15:00.000Z,"{'USD': {'volume_24h': 60276510.72995512, 'timestamp': '2023-11-07T00:15:00.000Z'}}",147
2023-11-07T00:20:00.000Z,"{'USD': {'volume_24h': 60291819.85527839, 'timestamp': '2023-11-07T00:20:00.000Z'}}",147
2023-11-07T00:25:00.000Z,"{'USD': {'volume_24h': 60265254.61324383, 'timestamp': '2023-11-07T00:25:00.000Z'}}",147
2023-11-07T00:30:00.000Z,"{'USD': {'volume_24h': 60184232.01728103, 'timestamp': '2023-11-07T00:30:00.000Z'}}",147
2023-11-07T00:35:00.000Z,"{'USD': {'volume_24h': 60178912.72556985, 'timestamp': '2023-11-07T00:35:00.000Z'}}",147
2023-11-07T00:40:00.000Z,"{'USD': {'volume_24h': 60152783.2211659, 'timestamp': '2023-11-07T00:40:00.000Z'}}",147
2023-11-07T00:45:00.000Z,"{'USD': {'volume_24h': 60083054.5140165, 'timestamp': '2023-11-07T00:45:00.000Z'}}",147
2023-11-07T00:50:00.000Z,"{'USD': {'volume_24h': 60177532.02103261, 'timestamp': '2023-11-07T00:50:00.000Z'}}",147
2023-11-07T00:55:00.000Z,"{'USD': {'volume_24h': 60243840.36579464, 'timestamp': '2023-11-07T00:55:00.000Z'}}",147
2023-11-07T01:00:00.000Z,"{'USD': {'volume_24h': 60253767.56664452, 'timestamp': '2023-11-07T01:00:00.000Z'}}",147
2023-11-07T01:05:00.000Z,"{'USD': {'volume_24h': 60253747.98017614, 'timestamp': '2023-11-07T01:05:00.000Z'}}",147
2023-11-07T01:10:00.000Z,"{'USD': {'volume_24h': 60248267.95324319, 'timestamp': '2023-11-07T01:10:00.000Z'}}",147
2023-11-07T01:15:00.000Z,"{'USD': {'volume_24h': 60253600.53704749, 'timestamp': '2023-11-07T01:15:00.000Z'}}",147
