timestamp,quote,num_market_pairs
2023-11-07T00:00:00.000Z,"{'USD': {'volume_24h': 718244940.242435, 'timestamp': '2023-11-07T00:00:00.000Z'}}",767
2023-11-07T00:05:00.000Z,"{'USD': {'volume_24h': 718870498.2341152, 'timestamp': '2023-11-07T00:05:00.000Z'}}",767
2023-11-07T00:10:00.000Z,"{'USD': {'volume_24h': 717934216.6685748, 'timestamp': '2023-11-07T00:10:00.000Z'}}",767
2023-11-07T00:15:00.000Z,"{'USD': {'volume_24h': 718222125.8072202, 'timestamp': '2023-11-07T00:15:00.000Z'}}",767
2023-11-07T00:20:00.000Z,"{'USD': {'volume_24h': 719497264.3358494, 'timestamp': '2023-11-07T00:20:00.000Z'}}",767
2023-11-07T00:25:00.000Z,"{'USD': {'volume_24h': 719120469.0440744, 'timestamp': '2023-11-07T00:25:00.000Z'}}",767
2023-11-07T00:30:00.000Z,"{'USD': {'volume_24h': 720193982.4262207, 'timestamp': '2023-11-07T00:30:00.000Z'}}",767
2023-11-07T00:35:00.000Z,"{'USD': {'volume_24h': 721284033.8633059, 'timestamp': '2023-11-07T00:35:00.000Z'}}",767
2023-11-07T00:40:00.000Z,"{'USD': {'volume_24h': 722661819.3863839, 'timestamp': '2023-11-07T00:40:00.000Z'}}",767
2023-11-07T00:45:00.000Z,"{'USD': {'volume_24h': 724769319.5726985, 'timestamp': '2023-11-07T00:45:00.000Z'}}",767
2023-11-07T00:50:00.000Z,"{'USD': {'volume_24h': 730133038.1265314, 'timestamp': '2023-11-07T00:50:00.000Z'}}",767
2023-11-07T00:55:00.000Z,"{'USD': {'volume_24h': 731552354.871296, 'timestamp': '2023-11-07T00:55:00.000Z'}}",767
2023-11-07T01:00:00.000Z,"{'USD': {'volume_24h': 732646246.9365432, 'timestamp': '2023-11-07T01:00:00.000Z'}}",767
2023-11-07T01:05:00.000Z,"{'USD': {'volume_24h': 734002756.4313687, 'timestamp': '2023-11-07T01:05:00.000Z'}}",767
2023-11-07T01:10:00.000Z,"{'USD': {'volume_24h': 734498676.7072302, 'timestamp': '2023-11-07T01:10:00.000Z'}}",767
2023-11-07T01:15:00.000Z,"{'USD': {'volume_24h': 736073090.1713315, 'timestamp': '2023-11-07T01:15:00.000Z'}}",767
2023-11-07T01:20:00.000Z,"{'USD': {'volume_24h': 736946677.6072206, 'timestamp': '2023-11-07T01:20:00.000Z'}}",767
2023-11-07T01:25:00.000Z,"{'USD': {'volume_24h': 735737787.528212, 'timestamp': '2023-11-07T01:25:00.000Z'}}",767
2023-11-07T01:30:00.000Z,"{'USD': {'volume_24h': 735954646.1202878, 'timestamp': '2023-11-07T01:30:00.000Z'}}",767
2023-11-07T01:35:00.000Z,"{'USD': {'volume_24h': 736328274.1875012, 'timestamp': '2023-11-07T01:35:00.000Z'}}",767
2023-11-07T01:40:00.000Z,"{'USD': {'volume_24h': 736117183.8312378, 'timestamp': '2023-11-07T01:40:00.000Z'}}",767
2023-11-07T01:45:00.000Z,"{'USD': {'volume_24h': 735406996.4394157, 'timestamp': '2023-11-07T01:45:00.000Z'}}",767
2023-11-07T01:50:00.000Z,"{'USD': {'volume_24h': 736434045.4848031, 'timestamp': '2023-11-07T01:50:00.000Z'}}",767
2023-11-07T01:55:00.000Z,"{'USD': {'volume_24h': 735966065.0700846, 'timestamp': '2023-11-07T01:55:00.000Z'}}",767
2023-11-07T02:00:00.000Z,"{'USD': {'volume_24h': 736040071.0655379, 'timestamp': '2023-11-07T02:00:00.000Z'}}",767
2023-11-07T02:05:00.000Z,"{'USD': {'volume_24h': 736312437.3123522, 'timestamp': '2023-11-07T02:05:00.000Z'}}",767
2023-11-07T02:10:00.000Z,"{'USD': {'volume_24h': 735415259.9768782, 'timestamp': '2023-11-07T02:10:00.000Z'}}",767
2023-11-07T02:15:00.000Z,"{'USD': {'volume_24h': 735593029.7941816, 'timestamp': '2023-11-07T02:15:00.000Z'}}",767
2023-11-07T02:20:00.000Z,"{'USD': {'volume_24h': 734812038.4459754, 'timestamp': '2023-11-07T02:20:00.000Z'}}",767
2023-11-07T02:25:00.000Z,"{'USD': {'volume_24h': 735045959.0336695, 'timestamp': '2023-11-07T02:25:00.000Z'}}",767
2023-11-07T02:30:00.000Z,"{'USD': {'volume_24h': 735292727.2147523, 'timestamp': '2023-11-07T02:30:00.000Z'}}",767
2023-11-07T02:35:00.000Z,"{'USD': {'volume_24h': 736948323.212285, 'timestamp': '2023-11-07T02:35:00.000Z'}}",767
2023-11-07T02:40:00.000Z,"{'USD': {'volume_24h': 737974548.0799347, 'timestamp': '2023-11-07T02:40:00.000Z'}}",767
2023-11-07T02:45:00.000Z,"{'USD': {'volume_24h': 739812643.4055811, 'timestamp': '2023-11-07T02:45:00.000Z'}}",767
2023-11-07T02:50:00.000Z,"{'USD': {'volume_24h': 741594411.5777786, 'timestamp': '2023-11-07T02:50:00.000Z'}}",767
2023-11-07T02:55:00.000Z,"{'USD': {'volume_24h': 740729513.7617263, 'timestamp': '2023-11-07T02:55:00.000Z'}}",767
2023-11-07T03:00:00.000Z,"{'USD': {'volume_24h': 740084567.9812763, 'timestamp': '2023-11-07T03:00:00.000Z'}}",767
2023-11-07T03:05:00.000Z,"{'USD': {'volume_24h': 742747430.7516531, 'timestamp': '2023-11-07T03:05:00.000Z'}}",767
2023-11-07T03:10:00.000Z,"{'USD': {'volume_24h': 744022116.5204171, 'timestamp': '2023-11-07T03:10:00.000Z'}}",767
2023-11-07T03:15:00.000Z,"{'USD': {'volume_24h': 744429111.5545777, 'timestamp': '2023-11-07T03:15:00.000Z'}}",767
2023-11-07T03:20:00.000Z,"{'USD': {'volume_24h': 743892061.9725784, 'timestamp': '2023-11-07T03:20:00.000Z'}}",767
2023-11-07T03:25:00.000Z,"{'USD': {'volume_24h': 744678375.8375206, 'timestamp': '2023-11-07T03:25:00.000Z'}}",767
2023-11-07T03:30:00.000Z,"{'USD': {'volume_24h': 745297292.9824425, 'timestamp': '2023-11-07T03:30:00.000Z'}}",767
2023-11-07T03:35:00.000Z,"{'USD': {'volume_24h': 745125009.5183336, 'timestamp': '2023-11-07T03:35:00.000Z'}}",767
2023-11-07T03:40:00.000Z,"{'USD': {'volume_24h': 744147438.2586249, 'timestamp': '2023-11-07T03:40:00.000Z'}}",767
2023-11-07T03:45:00.000Z,"{'USD': {'volume_24h': 744693060.1846813, 'timestamp': '2023-11-07T03:45:00.000Z'}}",767
2023-11-07T03:50:00.000Z,"{'USD': {'volume_24h': 744452610.2935922, 'timestamp': '2023-11-07T03:50:00.000Z'}}",767
2023-11-07T03:55:00.000Z,"{'USD': {'volume_24h': 744544126.8073324, 'timestamp': '2023-11-07T03:55:00.000Z'}}",767
2023-11-07T04:00:00.000Z,"{'USD': {'volume_24h': 744536041.6056527, 'timestamp': '2023-11-07T04:00:00.000Z'}}",767
2023-11-07T04:05:00.000Z,"{'USD': {'volume_24h': 745745368.4344395, 'timestamp': '2023-11-07T04:05:00.000Z'}}",767
2023-11-07T04:10:00.000Z,"{'USD': {'volume_24h': 745149693.5905604, 'timestamp': '2023-11-07T04:10:00.000Z'}}",767
2023-11-07T04:15:00.000Z,"{'USD': {'volume_24h': 743958391.353215, 'timestamp': '2023-11-07T04:15:00.000Z'}}",767
2023-11-07T04:20:00.000Z,"{'USD': {'volume_24h': 744524301.8139318, 'timestamp': '2023-11-07T04:20:00.000Z'}}",767
2023-11-07T04:25:00.000Z,"{'USD': {'volume_24h': 743387378.2027011, 'timestamp': '2023-11-07T04:25:00.000Z'}}",767
2023-11-07T04:30:00.000Z,"{'USD': {'volume_24h': 743601762.6386199, 'timestamp': '2023-11-07T04:30:00.000Z'}}",767
2023-11-07T04:35:00.000Z,"{'USD': {'volume_24h': 744741077.2417277, 'timestamp': '2023-11-07T04:35:00.000Z'}}",767
2023-11-07T04:40:00.000Z,"{'USD': {'volume_24h': 744523800.690947, 'timestamp': '2023-11-07T04:40:00.000Z'}}",767
2023-11-07T04:45:00.000Z,"{'USD': {'volume_24h': 744284896.5026395, 'timestamp': '2023-11-07T04:45:00.000Z'}}",767
2023-11-07T04:50:00.000Z,"{'USD': {'volume_24h': 746000044.3969824, 'timestamp': '2023-11-07T04:50:00.000Z'}}",767
