timestamp,quote,num_market_pairs
2023-11-07T00:00:00.000Z,"{'USD': {'volume_24h': 967642.57189739, 'timestamp': '2023-11-07T00:00:00.000Z'}}",46
2023-11-07T00:05:00.000Z,"{'USD': {'volume_24h': 989013.97959241, 'timestamp': '2023-11-07T00:05:00.000Z'}}",46
2023-11-07T00:10:00.000Z,"{'USD': {'volume_24h': 1029166.614785, 'timestamp': '2023-11-07T00:10:00.000Z'}}",46
2023-11-07T00:15:00.000Z,"{'USD': {'volume_24h': 1029166.61463763, 'timestamp': '2023-11-07T00:15:00.000Z'}}",46
2023-11-07T00:20:00.000Z,"{'USD': {'volume_24h': 1029051.31506339, 'timestamp': '2023-11-07T00:20:00.000Z'}}",46
2023-11-07T00:25:00.000Z,"{'USD': {'volume_24h': 1029040.80011305, 'timestamp': '2023-11-07T00:25:00.000Z'}}",46
2023-11-07T00:30:00.000Z,"{'USD': {'volume_24h': 1030949.67158112, 'timestamp': '2023-11-07T00:30:00.000Z'}}",46
2023-11-07T00:35:00.000Z,"{'USD': {'volume_24h': 1043646.61879749, 'timestamp': '2023-11-07T00:35:00.000Z'}}",46
2023-11-07T00:40:00.000Z,"{'USD': {'volume_24h': 1056323.43251504, 'timestamp': '2023-11-07T00:40:00.000Z'}}",46
2023-11-07T00:45:00.000Z,"{'USD': {'volume_24h': 1063463.19142551, 'timestamp': '2023-11-07T00:45:00.000Z'}}",46
2023-11-07T00:50:00.000Z,"{'USD': {'volume_24h': 1070729.68242593, 'timestamp': '2023-11-07T00:50:00.000Z'}}",46
2023-11-07T00:55:00.000Z,"{'USD': {'volume_24h': 1083735.87212767, 'timestamp': '2023-11-07T00:55:00.000Z'}}",46
2023-11-07T01:00:00.000Z,"{'USD': {'volume_24h': 1089442.23784032, 'timestamp': '2023-11-07T01:00:00.000Z'}}",46
2023-11-07T01:05:00.000Z,"{'USD': {'volume_24h': 1091408.72852385, 'timestamp': '2023-11-07T01:05:00.000Z'}}",46
2023-11-07T01:10:00.000Z,"{'USD': {'volume_24h': 1110637.55473453, 'timestamp': '2023-11-07T01:10:00.000Z'}}",46
2023-11-07T01:15:00.000Z,"{'USD': {'volume_24h': 1118749.0045023, 'timestamp': '2023-11-07T01:15:00.000Z'}}",46
2023-11-07T01:20:00.000Z,"{'USD': {'volume_24h': 1133964.61926888, 'timestamp': '2023-11-07T01:20:00.000Z'}}",46
2023-11-07T01:25:00.000Z,"{'USD': {'volume_24h': 1152134.66017363, 'timestamp': '2023-11-07T01:25:00.000Z'}}",46
2023-11-07T01:30:00.000Z,"{'USD': {'volume_24h': 1160100.27810562, 'timestamp': '2023-11-07T01:30:00.000Z'}}",46
2023-11-07T01:35:00.000Z,"{'USD': {'volume_24h': 1160142.17598407, 'timestamp': '2023-11-07T01:35:00.000Z'}}",46
2023-11-07T01:40:00.000Z,"{'USD': {'volume_24h': 1160124.6733922, 'timestamp': '2023-11-07T01:40:00.000Z'}}",46
2023-11-07T01:45:00.000Z,"{'USD': {'volume_24h': 1159967.44363195, 'timestamp': '2023-11-07T01:45:00.000Z'}}",46
2023-11-07T01:50:00.000Z,"{'USD': {'volume_24h': 1160606.05611509, 'timestamp': '2023-11-07T01:50:00.000Z'}}",46
2023-11-07T01:55:00.000Z,"{'USD': {'volume_24h': 1160588.59935236, 'timestamp': '2023-11-07T01:55:00.000Z'}}",46
2023-11-07T02:00:00.000Z,"{'USD': {'volume_24h': 1158099.56737705, 'timestamp': '2023-11-07T02:00:00.000Z'}}",46
2023-11-07T02:05:00.000Z,"{'USD': {'volume_24h': 1158120.53673121, 'timestamp': '2023-11-07T02:05:00.000Z'}}",46
2023-11-07T02:10:00.000Z,"{'USD': {'volume_24h': 1158214.89134593, 'timestamp': '2023-11-07T02:10:00.000Z'}}",46
2023-11-07T02:15:00.000Z,"{'USD': {'volume_24h': 1158228.87846013, 'timestamp': '2023-11-07T02:15:00.000Z'}}",46
2023-11-07T02:20:00.000Z,"{'USD': {'volume_24h': 1158228.87861326, 'timestamp': '2023-11-07T02:20:00.000Z'}}",46
2023-11-07T02:25:00.000Z,"{'USD': {'volume_24h': 1158225.38797018, 'timestamp': '2023-11-07T02:25:00.000Z'}}",46
2023-11-07T02:30:00.000Z,"{'USD': {'volume_24h': 1158218.40892532, 'timestamp': '2023-11-07T02:30:00.000Z'}}",46
2023-11-07T02:35:00.000Z,"{'USD': {'volume_24h': 1157827.78999569, 'timestamp': '2023-11-07T02:35:00.000Z'}}",46
2023-11-07T02:40:00.000Z,"{'USD': {'volume_24h': 1157398.90429678, 'timestamp': '2023-11-07T02:40:00.000Z'}}",46
2023-11-07T02:45:00.000Z,"{'USD': {'volume_24h': 1157698.8021739, 'timestamp': '2023-11-07T02:45:00.000Z'}}",46
2023-11-07T02:50:00.000Z,"{'USD': {'volume_24h': 1156645.70393728, 'timestamp': '2023-11-07T02:50:00.000Z'}}",46
2023-11-07T02:55:00.000Z,"{'USD': {'volume_24h': 1153453.95008568, 'timestamp': '2023-11-07T02:55:00.000Z'}}",46
2023-11-07T03:00:00.000Z,"{'USD': {'volume_24h': 1153453.94999141, 'timestamp': '2023-11-07T03:00:00.000Z'}}",46
2023-11-07T03:05:00.000Z,"{'USD': {'volume_24h': 1153282.9311673, 'timestamp': '2023-11-07T03:05:00.000Z'}}",46
2023-11-07T03:10:00.000Z,"{'USD': {'volume_24h': 1153467.66699402, 'timestamp': '2023-11-07T03:10:00.000Z'}}",46
2023-11-07T03:15:00.000Z,"{'USD': {'volume_24h': 1153565.30617126, 'timestamp': '2023-11-07T03:15:00.000Z'}}",46
2023-11-07T03:20:00.000Z,"{'USD': {'volume_24h': 1153108.83304314, 'timestamp': '2023-11-07T03:20:00.000Z'}}",46
2023-11-07T03:25:00.000Z,"{'USD': {'volume_24h': 1153126.29491856, 'timestamp': '2023-11-07T03:25:00.000Z'}}",46
2023-11-07T03:30:00.000Z,"{'USD': {'volume_24h': 1153255.39666055, 'timestamp': '2023-11-07T03:30:00.000Z'}}",46
2023-11-07T03:35:00.000Z,"{'USD': {'volume_24h': 1153045.95651933, 'timestamp': '2023-11-07T03:35:00.000Z'}}",46
2023-11-07T03:40:00.000Z,"{'USD': {'volume_24h': 1153234.2162287, 'timestamp': '2023-11-07T03:40:00.000Z'}}",46
2023-11-07T03:45:00.000Z,"{'USD': {'volume_24h': 1152751.77803729, 'timestamp': '2023-11-07T03:45:00.000Z'}}",46
2023-11-07T03:50:00.000Z,"{'USD': {'volume_24h': 1152262.61522565, 'timestamp': '2023-11-07T03:50:00.000Z'}}",46
2023-11-07T03:55:00.000Z,"{'USD': {'volume_24h': 1152245.11414578, 'timestamp': '2023-11-07T03:55:00.000Z'}}",46
2023-11-07T04:00:00.000Z,"{'USD': {'volume_24h': 1152224.12102892, 'timestamp': '2023-11-07T04:00:00.000Z'}}",46
2023-11-07T04:05:00.000Z,"{'USD': {'volume_24h': 1146288.64283843, 'timestamp': '2023-11-07T04:05:00.000Z'}}",46
