timestamp,quote,num_market_pairs
2023-11-07T00:00:00.000Z,"{'USD': {'volume_24h': 37585.63954226, 'timestamp': '2023-11-07T00:00:00.000Z'}}",119
2023-11-07T00:05:00.000Z,"{'USD': {'volume_24h': 37908.39017032, 'timestamp': '2023-11-07T00:05:00.000Z'}}",119
2023-11-07T00:10:00.000Z,"{'USD': {'volume_24h': 37725.96112243, 'timestamp': '2023-11-07T00:10:00.000Z'}}",119
2023-11-07T00:15:00.000Z,"{'USD': {'volume_24h': 37724.87551613, 'timestamp': '2023-11-07T00:15:00.000Z'}}",119
2023-11-07T00:20:00.000Z,"{'USD': {'volume_24h': 37688.12664173, 'timestamp': '2023-11-07T00:20:00.000Z'}}",119
2023-11-07T00:25:00.000Z,"{'USD': {'volume_24h': 37760.86662709, 'timestamp': '2023-11-07T00:25:00.000Z'}}",119
2023-11-07T00:30:00.000Z,"{'USD': {'volume_24h': 37520.53799315, 'timestamp': '2023-11-07T00:30:00.000Z'}}",119
2023-11-07T00:35:00.000Z,"{'USD': {'volume_24h': 37555.90396649, 'timestamp': '2023-11-07T00:35:00.000Z'}}",119
2023-11-07T00:40:00.000Z,"{'USD': {'volume_24h': 37529.75937549, 'timestamp': '2023-11-07T00:40:00.000Z'}}",119
2023-11-07T00:45:00.000Z,"{'USD': {'volume_24h': 37481.77896073, 'timestamp': '2023-11-07T00:45:00.000Z'}}",119
2023-11-07T00:50:00.000Z,"{'USD': {'volume_24h': 37394.45223334, 'timestamp': '2023-11-07T00:50:00.000Z'}}",119
2023-11-07T00:55:00.000Z,"{'USD': {'volume_24h': 37556.74784886, 'timestamp': '2023-11-07T00:55:00.000Z'}}",119
2023-11-07T01:00:00.000Z,"{'USD': {'volume_24h': 37630.96332215, 'timestamp': '2023-11-07T01:00:00.000Z'}}",119
2023-11-07T01:05:00.000Z,"{'USD': {'volume_24h': 37689.94471936, 'timestamp': '2023-11-07T01:05:00.000Z'}}",119
2023-11-07T01:10:00.000Z,"{'USD': {'volume_24h': 37684.99085366, 'timestamp': '2023-11-07T01:10:00.000Z'}}",119
2023-11-07T01:15:00.000Z,"{'USD': {'volume_24h': 37696.9684566, 'timestamp': '2023-11-07T01:15:00.000Z'}}",119
2023-11-07T01:20:00.000Z,"{'USD': {'volume_24h': 37522.60979414, 'timestamp': '2023-11-07T01:20:00.000Z'}}",119
2023-11-07T01:25:00.000Z,"{'USD': {'volume_24h': 37452.42690534, 'timestamp': '2023-11-07T01:25:00.000Z'}}",119
2023-11-07T01:30:00.000Z,"{'USD': {'volume_24h': 37456.80551321, 'timestamp': '2023-11-07T01:30:00.000Z'}}",119
2023-11-07T01:35:00.000Z,"{'USD': {'volume_24h': 37484.49725105, 'timestamp': '2023-11-07T01:35:00.000Z'}}",119
2023-11-07T01:40:00.000Z,"{'USD': {'volume_24h': 37458.54239427, 'timestamp': '2023-11-07T01:40:00.000Z'}}",119
2023-11-07T01:45:00.000Z,"{'USD': {'volume_24h': 37090.58212306, 'timestamp': '2023-11-07T01:45:00.000Z'}}",119
